name,text,label
85589984.gif,,0
80741075.jpg,asV4 - SZUKASZ MODNEJ BIZUTERII? sprawdź myway-jewellery.pl,0
85481549.gif,,0
cropped94.png,STOP CRISIS,1
85411542.gif,,0
81384185.jpg,"Vivus PL PROMOCIAT Pierwszej DO 1600zŁ SPŁACAJ NAWET 60 DNI TYLKO TERAZI SPRAWDŹ Promocla trwa 1 30C5Zo16r Szczecol UJrunkioicrioc Josteone Repul-inie Promnoriin ""ius Di wieceln Udcieletiecaaakiier Uzjeznoie Dozylywte Orev {hainaso Keaue niny pozyczkl",0
cropped248.png,baltic Suaic DOLĄCZ DO PROJEKTU JUŻ DZIŚ.,1
84481449.gif,,0
81401141.jpg,686 Ec6 DEFTMy FFF TOMAY ( RUFFTOMaY 6C6 68 FuFoitay RuTOTUAY RFFCAY 6@6 6@5 e6 PoErTo Mn,0
cropped142.png,Mankn Acndeng KURS ONLINE JAK ZMUSIĆ TWOJE PIENIĄDZE DO PRACY a samemu trochę wyluzować Za darmo do konca tygodnia!,1
81733664.gif,,0
80624972.jpg,LC WROCŁAW OSIEDLE MAESTRO Corp ACCaIT ,0
cropped141.png,INWESTOWANIE JEST PROSTE! Kupić akcje PZU za inwestycje z 1000 2ł bezpłatnym Uzyskaj ubezpieczeniem gwarantowany od ewentualnych dochód w strat wysokości 6.5002l finansowych,1
84537530.jpg,,0
85774766.gif,,0
86101611.gif,,0
85501551.gif,,0
cropped120.png,Pilne oswiadczenie Ministerstwa Finansów WIE 0 TYM ZALEDWIE 7% POLAKOW. KAZDY 990 ZŁ Za DZIEŃ,1
85690409.gif,,0
82404503.jpg,Zmieniash ceenu? Zonelorzeporgj Toiaeiaszeplarg} To nle przepłaca] nie przepłacaj nle przepłacaj Sorawdz Spraltdr Sorawd2 0a07 Juz 0d 174 Juz 0a 174 Z{ Juz 0d 174 Z MoIRio WoIRiO MoIRio Cana Scouis Gana Scruks Cara Scnul Zmlenlasz opong? Zmieniasz opony? Zmleniasz Oenuz Tonie preptacall To nie przepłacaj Tonie przepacel Sprawd{ Sprawdz Sprawdz 0i Jlefs oadn 0 Juz 00 174 Juz 00 174 Juz 00 174 MOIRiO WOIRiO MOIRIO Carr Scul Caria Scruk Gana Scwf Zmieniash ceenu? Zmllenlasz econg7 Toiaeiaszeplarg} To nle przepłaca] Tonie przepłacali nle przepłacaj Sprawdr Spraiwydz Sorawd2 0al7 Phn207 0a07 Juz 0d 174 Juz 0d 174 Z Juz 00 174 z{ MoIRio WoIRiO MoIRio Cana Scnuis Gana Scruks Cara Scnuks Jhec,0
82279976.jpg,ed#VA ad#bn ad#$N edn DM edn DM edr Dn ed#DM ad#DM ad#VA,0
81651166.jpg,NAKARM ITY 5R ZERKNIJ,0
cropped424.png,"Uwaga, to jest już dostępne Zainwestuj w nową kryptowalutę MCCoin od znanej na całym świecie marki McDonald's Zarabiaj 16.700 zł",1
82215704.jpg,eobuwiepl Tylko do 02.10 30 zobacz,0
85911592.gif,,0
84244289.gif,,0
86561657.gif,,0
84971498.gif,,0
85377083.gif,,0
86511652.gif,,0
